alg_name,K,n,error_bool,meas_error_bool,error_rate,positive,number_of_runs,T
object,int64,int64,bool,bool,float64,int64,int64,int64
Signal,5,5,True,True,0.001,100,1965440,1000
Signal,5,5,True,True,0.0014,100,732480,1000
Signal,5,5,True,True,0.0019,100,280000,1000
Signal,5,5,True,True,0.0027,100,115520,1000
Signal,5,5,True,True,0.0037,100,38720,1000
Signal,5,5,True,True,0.0052,102,16640,1000
Signal,5,5,True,True,0.0072,103,5440,1000
Signal,5,5,True,True,0.01,115,2560,1000
Signal,5,5,True,True,0.0139,117,960,1000
Signal,5,5,True,True,0.0193,101,640,500
Signal,5,5,True,True,0.0268,283,1600,200
Signal,5,5,True,True,0.0373,778,6400,50
Signal,5,5,True,True,0.0518,1992,16000,20
Signal,5,5,True,True,0.072,4628,32000,10
Signal,7,7,True,True,0.001,6,3450880,1000
Signal,7,7,True,True,0.0014,32,5921920,1000
Signal,7,7,True,True,0.0019,50,3376640,1000
Signal,7,7,True,True,0.0027,100,1380480,1000
Signal,7,7,True,True,0.0037,100,450560,1000
Signal,7,7,True,True,0.0052,100,126400,1000
Signal,7,7,True,True,0.0072,102,32640,1000
Signal,7,7,True,True,0.01,101,8960,1000
Signal,7,7,True,True,0.0139,103,2560,1000
Signal,7,7,True,True,0.0193,111,960,1000
Signal,7,7,True,True,0.0268,122,640,500
Signal,7,7,True,True,0.0373,470,3200,100
Signal,7,7,True,True,0.0518,1346,6400,50
Signal,7,7,True,True,0.072,3716,32000,10
Signal,9,9,True,True,0.001,0,1302080,1000
Signal,9,9,True,True,0.0014,1,5903680,1000
Signal,9,9,True,True,0.0019,4,3250560,1000
Signal,9,9,True,True,0.0027,19,3458240,1000
Signal,9,9,True,True,0.0037,87,3474240,1000
Signal,9,9,True,True,0.0052,100,803520,1000
Signal,9,9,True,True,0.0072,100,172480,1000
Signal,9,9,True,True,0.01,100,41280,1000
Signal,9,9,True,True,0.0139,104,8960,1000
Signal,9,9,True,True,0.0193,107,1920,1000
Signal,9,9,True,True,0.0268,134,1280,500
Signal,9,9,True,True,0.0373,314,1600,200
Signal,9,9,True,True,0.0518,1045,6400,50
Signal,9,9,True,True,0.072,3001,16000,20
Signal,11,11,True,True,0.001,0,6109760,1000
Signal,11,11,True,True,0.0014,0,1302080,1000
Signal,11,11,True,True,0.0019,0,4607360,1000
Signal,11,11,True,True,0.0027,3,3422080,1000
Signal,11,11,True,True,0.0037,10,3934400,1000
Signal,11,11,True,True,0.0052,82,4351040,1000
Signal,11,11,True,True,0.0072,100,1031040,1000
Signal,11,11,True,True,0.01,100,137920,1000
Signal,11,11,True,True,0.0139,101,24000,1000
Signal,11,11,True,True,0.0193,102,4800,1000
Signal,11,11,True,True,0.0268,107,960,1000
Signal,11,11,True,True,0.0373,202,1600,200
Signal,11,11,True,True,0.0518,820,6400,50
Signal,11,11,True,True,0.072,2673,16000,20
Signal,13,13,True,True,0.001,0,6209920,1000
Signal,13,13,True,True,0.0014,0,1201920,1000
Signal,13,13,True,True,0.0019,0,4407040,1000
Signal,13,13,True,True,0.0027,2,4286400,1000
Signal,13,13,True,True,0.0037,2,4670080,1000
Signal,13,13,True,True,0.0052,13,4480960,1000
Signal,13,13,True,True,0.0072,100,4296960,1000
Signal,13,13,True,True,0.01,100,549120,1000
Signal,13,13,True,True,0.0139,100,68480,1000
Signal,13,13,True,True,0.0193,101,8000,1000
Signal,13,13,True,True,0.0268,124,1600,1000
Signal,13,13,True,True,0.0373,139,1600,200
Signal,13,13,True,True,0.0518,717,6400,50
Signal,13,13,True,True,0.072,2472,16000,20
Signal,15,15,True,True,0.001,0,1201920,1000
Signal,15,15,True,True,0.0014,0,5308480,1000
Signal,15,15,True,True,0.0019,0,4607360,1000
Signal,15,15,True,True,0.0027,0,4407040,1000
Signal,15,15,True,True,0.0037,0,3305280,1000
Signal,15,15,True,True,0.0052,2,3288640,1000
Signal,15,15,True,True,0.0072,31,4374400,1000
Signal,15,15,True,True,0.01,100,1696960,1000
Signal,15,15,True,True,0.0139,101,174080,1000
Signal,15,15,True,True,0.0193,102,16960,1000
Signal,15,15,True,True,0.0268,120,2240,1000
Signal,15,15,True,True,0.0373,103,640,500
Signal,15,15,True,True,0.0518,661,6400,50
Signal,15,15,True,True,0.072,2285,16000,20
Signal,20,20,True,True,0.0019,0,3405440,1000
Signal,20,20,True,True,0.0027,0,4306880,1000
Signal,20,20,True,True,0.0037,0,3405440,1000
Signal,20,20,True,True,0.0052,0,4807680,1000
Signal,20,20,True,True,0.0072,3,3404480,1000
Signal,20,20,True,True,0.01,13,4397760,1000
Signal,20,20,True,True,0.0139,100,1176000,1000
Signal,20,20,True,True,0.0193,100,80640,1000
Signal,20,20,True,True,0.0268,104,5760,1000
Signal,20,20,True,True,0.0373,145,1280,500
Signal,20,20,True,True,0.0518,474,3200,100
Signal,20,20,True,True,0.072,1776,6400,50
Signal,30,30,True,True,0.0037,0,4807680,1000
Signal,30,30,True,True,0.0052,0,5208320,1000
Signal,30,30,True,True,0.0072,0,4507200,1000
Signal,30,30,True,True,0.01,1,4473600,1000
Signal,30,30,True,True,0.0139,15,3432320,1000
Signal,30,30,True,True,0.0193,100,745600,1000
Signal,30,30,True,True,0.0268,100,21760,1000
Signal,30,30,True,True,0.0373,108,960,1000
Signal,30,30,True,True,0.0518,315,3200,100
Signal,30,30,True,True,0.072,1602,6400,50
Signal,40,40,True,True,0.0072,0,4407040,1000
Signal,40,40,True,True,0.01,0,4607360,1000
Signal,40,40,True,True,0.0139,1,5684800,1000
Signal,40,40,True,True,0.0193,100,4226880,1000
Signal,40,40,True,True,0.0268,100,75200,1000
Signal,40,40,True,True,0.0373,109,1920,1000
Signal,40,40,True,True,0.0518,306,1600,200
Signal,40,40,True,True,0.072,1434,6400,50
Signal,50,50,True,True,0.01,0,4407040,1000
Signal,50,50,True,True,0.0139,1,4142080,1000
Signal,50,50,True,True,0.0193,14,3244800,1000
Signal,50,50,True,True,0.0268,100,166080,1000
Signal,50,50,True,True,0.0373,107,2560,1000
Signal,50,50,True,True,0.0518,275,1600,200
Signal,50,50,True,True,0.072,1278,6400,50
Signal,60,60,True,True,0.01,0,5208320,1000
Signal,60,60,True,True,0.0139,0,5408640,1000
Signal,60,60,True,True,0.0193,5,3364800,1000
Signal,60,60,True,True,0.0268,100,416320,1000
Signal,60,60,True,True,0.0373,110,3200,1000
Signal,60,60,True,True,0.0518,255,1600,200
Signal,60,60,True,True,0.072,1166,6400,50
Signal,70,70,True,True,0.0139,0,4507200,1000
Signal,70,70,True,True,0.0193,2,4327680,1000
Signal,70,70,True,True,0.0268,100,788480,1000
Signal,70,70,True,True,0.0373,101,4480,1000
Signal,70,70,True,True,0.0518,227,1600,200
Signal,70,70,True,True,0.072,1102,6400,50
Signal,80,80,True,True,0.0139,0,4306880,1000
Signal,80,80,True,True,0.0193,0,4306880,1000
Signal,80,80,True,True,0.0268,100,1964480,1000
Signal,80,80,True,True,0.0373,105,6080,1000
Signal,80,80,True,True,0.0518,200,1600,200
Signal,80,80,True,True,0.072,965,6400,50
Signal,90,90,True,True,0.0139,0,3305280,1000
Signal,90,90,True,True,0.0193,0,4306880,1000
Signal,90,90,True,True,0.0268,94,3011200,1000
Signal,90,90,True,True,0.0373,102,6720,1000
Signal,90,90,True,True,0.0518,182,1600,200
Signal,90,90,True,True,0.072,945,6400,50
Signal,100,100,True,True,0.0193,0,5608960,1000
Signal,100,100,True,True,0.0268,62,2872320,1000
Signal,100,100,True,True,0.0373,104,9600,1000
Signal,100,100,True,True,0.0518,161,1600,200
Signal,100,100,True,True,0.072,854,6400,50
Signal,25,25,True,True,0.0027,0,3405440,1000
Signal,25,25,True,True,0.0037,0,4507200,1000
Signal,25,25,True,True,0.0052,0,5208320,1000
Signal,25,25,True,True,0.0072,0,3205120,1000
Signal,25,25,True,True,0.01,2,3288320,1000
Signal,25,25,True,True,0.0139,83,4366400,1000
Signal,25,25,True,True,0.0193,100,253440,1000
Signal,25,25,True,True,0.0268,102,9600,1000
Signal,25,25,True,True,0.0373,128,960,1000
Signal,25,25,True,True,0.0518,426,3200,100
Signal,25,25,True,True,0.072,1854,6400,50
Signal,17,17,True,True,0.0014,0,1602560,1000
Signal,17,17,True,True,0.0019,0,2003200,1000
Signal,17,17,True,True,0.0027,0,2003200,1000
Signal,17,17,True,True,0.0037,0,2103360,1000
Signal,17,17,True,True,0.0052,0,1702720,1000
Signal,17,17,True,True,0.0072,2,3251200,1000
Signal,17,17,True,True,0.01,81,3393600,1000
Signal,17,17,True,True,0.0139,100,419840,1000
Signal,17,17,True,True,0.0193,102,30400,1000
Signal,17,17,True,True,0.0268,106,2880,1000
Signal,17,17,True,True,0.0373,189,1280,500
Signal,17,17,True,True,0.0518,584,3200,100
Signal,17,17,True,True,0.072,2079,16000,20
Toom,3,9,True,True,0.001,96,7284480,1000
Toom,3,9,True,True,0.0014,100,2472320,1000
Toom,3,9,True,True,0.0019,100,837120,1000
Toom,3,9,True,True,0.0027,100,340160,1000
Toom,3,9,True,True,0.0037,101,114880,1000
Toom,3,9,True,True,0.0052,102,35520,1000
Toom,3,9,True,True,0.0072,100,13760,1000
Toom,3,9,True,True,0.01,101,3520,1000
Toom,3,9,True,True,0.0139,115,1600,1000
Toom,3,9,True,True,0.0193,115,640,1000
Toom,3,9,True,True,0.0268,222,1600,200
Toom,3,9,True,True,0.0373,587,6400,50
Toom,3,9,True,True,0.0518,1520,6400,50
Toom,3,9,True,True,0.072,3965,32000,10
Toom,4,16,True,True,0.001,0,7612160,1000
Toom,4,16,True,True,0.0014,3,9978880,1000
Toom,4,16,True,True,0.0019,7,9917760,1000
Toom,4,16,True,True,0.0027,28,9967040,1000
Toom,4,16,True,True,0.0037,100,7852480,1000
Toom,4,16,True,True,0.0052,100,1814080,1000
Toom,4,16,True,True,0.0072,100,373440,1000
Toom,4,16,True,True,0.01,100,64320,1000
Toom,4,16,True,True,0.0139,101,15360,1000
Toom,4,16,True,True,0.0193,102,2880,1000
Toom,4,16,True,True,0.0268,107,640,1000
Toom,4,16,True,True,0.0373,229,1600,200
Toom,4,16,True,True,0.0518,847,6400,50
Toom,4,16,True,True,0.072,2490,16000,20
Toom,5,25,True,True,0.001,0,9815680,1000
Toom,5,25,True,True,0.0014,0,9915840,1000
Toom,5,25,True,True,0.0019,0,8814080,1000
Toom,5,25,True,True,0.0027,0,9915840,1000
Toom,5,25,True,True,0.0037,1,9924480,1000
Toom,5,25,True,True,0.0052,8,6651840,1000
Toom,5,25,True,True,0.0072,56,6886400,1000
Toom,5,25,True,True,0.01,100,1438080,1000
Toom,5,25,True,True,0.0139,100,171520,1000
Toom,5,25,True,True,0.0193,103,19200,1000
Toom,5,25,True,True,0.0268,100,1920,1000
Toom,5,25,True,True,0.0373,197,1280,500
Toom,5,25,True,True,0.0518,566,3200,100
Toom,5,25,True,True,0.072,1923,16000,20
Toom,6,36,True,True,0.001,0,8914240,1000
Toom,6,36,True,True,0.0014,0,9915840,1000
Toom,6,36,True,True,0.0019,0,2403840,1000
Toom,6,36,True,True,0.0027,0,9915840,1000
Toom,6,36,True,True,0.0037,1,5880960,1000
Toom,6,36,True,True,0.0052,0,3405440,1000
Toom,6,36,True,True,0.0072,3,9909760,1000
Toom,6,36,True,True,0.01,49,9905920,1000
Toom,6,36,True,True,0.0139,100,1576640,1000
Toom,6,36,True,True,0.0193,100,96320,1000
Toom,6,36,True,True,0.0268,101,6720,1000
Toom,6,36,True,True,0.0373,129,960,1000
Toom,6,36,True,True,0.0518,400,3200,100
Toom,6,36,True,True,0.072,1657,6400,50
Toom,7,49,True,True,0.001,0,2704320,1000
Toom,7,49,True,True,0.0014,0,9915840,1000
Toom,7,49,True,True,0.0019,0,6310080,1000
Toom,7,49,True,True,0.0027,0,9915840,1000
Toom,7,49,True,True,0.0037,0,2303680,1000
Toom,7,49,True,True,0.0052,0,2303680,1000
Toom,7,49,True,True,0.0072,0,2203520,1000
Toom,7,49,True,True,0.01,4,9988800,1000
Toom,7,49,True,True,0.0139,57,7163200,1000
Toom,7,49,True,True,0.0193,100,471040,1000
Toom,7,49,True,True,0.0268,103,22080,1000
Toom,7,49,True,True,0.0373,102,1280,1000
Toom,7,49,True,True,0.0518,290,1600,200
Toom,7,49,True,True,0.072,1483,6400,50
Toom,8,64,True,True,0.001,0,2804480,1000
Toom,8,64,True,True,0.0014,0,9915840,1000
Toom,8,64,True,True,0.0019,0,6009600,1000
Toom,8,64,True,True,0.0027,0,9915840,1000
Toom,8,64,True,True,0.0037,0,2804480,1000
Toom,8,64,True,True,0.0052,0,2403840,1000
Toom,8,64,True,True,0.0072,0,500800,1000
Toom,8,64,True,True,0.01,0,9915840,1000
Toom,8,64,True,True,0.0139,6,9920000,1000
Toom,8,64,True,True,0.0193,100,5104960,1000
Toom,8,64,True,True,0.0268,101,105600,1000
Toom,8,64,True,True,0.0373,102,2880,1000
Toom,8,64,True,True,0.0518,195,1600,200
Toom,8,64,True,True,0.072,1208,6400,50
Toom,9,81,True,True,0.001,0,2804480,1000
Toom,9,81,True,True,0.0014,0,9915840,1000
Toom,9,81,True,True,0.0019,0,6209920,1000
Toom,9,81,True,True,0.0027,0,9915840,1000
Toom,9,81,True,True,0.0037,0,3104960,1000
Toom,9,81,True,True,0.0052,0,2403840,1000
Toom,9,81,True,True,0.0072,0,701120,1000
Toom,9,81,True,True,0.01,0,9915840,1000
Toom,9,81,True,True,0.0139,1,9954240,1000
Toom,9,81,True,True,0.0193,24,9967040,1000
Toom,9,81,True,True,0.0268,100,346240,1000
Toom,9,81,True,True,0.0373,100,5120,1000
Toom,9,81,True,True,0.0518,157,640,500
Toom,9,81,True,True,0.072,1049,6400,50
Toom,10,100,True,True,0.001,0,9915840,1000
Toom,10,100,True,True,0.0014,0,9915840,1000
Toom,10,100,True,True,0.0019,0,5909440,1000
Toom,10,100,True,True,0.0027,0,9915840,1000
Toom,10,100,True,True,0.0037,0,2203520,1000
Toom,10,100,True,True,0.0052,0,2303680,1000
Toom,10,100,True,True,0.0072,0,600960,1000
Toom,10,100,True,True,0.01,0,9915840,1000
Toom,10,100,True,True,0.0139,0,9915840,1000
Toom,10,100,True,True,0.0193,8,7164800,1000
Toom,10,100,True,True,0.0268,100,1111680,1000
Toom,10,100,True,True,0.0373,104,12480,1000
Toom,10,100,True,True,0.0518,127,640,500
Toom,10,100,True,True,0.072,726,6400,50